word,part_of_speech,translate
property,n.,"財產,資產"
municipal,adj.,市政的;市的
diligence,n.,勤勉;勤奮
posture,v.,作姿勢;擺出姿勢;故作姿態
injury,n.,傷害
stock,n.,(公司的)股票;存貨
miser,n.,吝嗇鬼;守財奴
rely,v.,"依靠,依賴"
immigrate,v.,遷入;遷移
coordinate,v.,"協調,調節;協調一致"
integrate,v.,使結合;求積分
cosmetics,n.,"化妝品,美容品"
infinite,adj.,無窮盡的;無限的
proficiency,n.,熟練;精通
sway,n.,影響;搖動;搖擺
ransom,v.,向...勒索贖金;贖回
server,n.,伺服器;侍者
cart,v.,用運貨車裝運
squat,n.,蜷伏;蹲坐
expertise,n.,專業知識;專門技術;專門知識
doubt,n.,懷疑
book,n.,書本
honk,n.,雁鳴或汽車喇叭聲
zebra,n.,斑馬
port,n.,港
ranch,n.,大牧場
increase,n.,增加;增強
complexity,n.,複雜(性);錯綜(性)
pitcher,n.,一壺的量;大水罐;投手
obedience,n.,服從;順從
opportunity,n.,機會;良機
pickle,n.,醃黃瓜等的泡菜;鹽滷
weak,adj.,虛弱的
imperial,adj.,帝國的
limousine,n.,大轎車
target,v.,把...作為目標(或對象)
speculate,v.,投機;投機買賣;推斷;推測;沉思;猜測
compact,adj.,小型的;結實的;緊密的
cheerful,adj.,使人感到愉快的
ideal,adj.,"理想的,完美的"
hiss,n.,嘶嘶聲;噓聲
ward,n.,牢房;病房;行政區
awe,v.,使敬畏;使畏怯
O.K.,n.,"認可,批准"
snatch,v.,奪走;抓住
astronaut,n.,"太空人,宇航員"
roast,n.,烘烤;烤肉
superiority,n.,上級;優勢;優越
layer,n.,地層;層;階層
migrate,v.,回游;定期移棲;移居
nag,n.,好嘮叨的人
recite,v.,朗誦;背誦;詳述
substitution,n.,代替;代替物
verge,n.,邊沿;邊緣
finger,v.,告密;告發;指出;撥弄
cause,v.,"導致,使發生,引起"
framework,n.,架構;組織
burst,n.,爆炸;破裂;缺口
satellite,n.,衛星
correct,adj.,正確的
disable,v.,使傷殘;使失去能力
vocational,adj.,為職業做準備的;職業的
disregard,v.,漠視
childish,adj.,幼稚的
mellow,adj.,(人)圓熟的;(水果)成熟的
type,v.,打字
hush,n.,"靜寂,沈默"
escort,n.,護航;護航隊;護衛隊;護送
coordinate,n.,同等的人(或物);座標
gasp,n.,倒抽一口氣;喘氣
shred,n.,破布;碎條;碎片
industry,n.,企業;行業
feature,n.,"特徵,特色"
sometime,adv.,"日後,改天;某一時候"
purse,n.,錢包
rhythmic,adj.,有節奏的;有韻律的
dialect,n.,方言
key,v.,插上;為...調音;用鍵盤輸入;鎖上
cannon,v.,砲轟;開砲
disorder,v.,使混亂;擾亂
crunch,n.,嘎吱吱(咬嚼)聲音;關鍵時刻
dissident,adj.,意見不同的;持不同意見的
digest,n.,摘要;文摘;消化
brass,adj.,"黃銅製的,黃銅色的"
drawing,n.,"抽籤;描繪,素描;提款;製圖"
exceed,v.,勝過;超越;超過
slice,n.,薄片
flat,v.,使變平;降半音
spare,n.,備用品;備用零件
quiet,n.,和平;安穩;安靜;寂靜
kettle,n.,水壺
blonde,n.,白膚金髮碧眼的女人
league,n.,"同盟,聯盟"
eccentric,adj.,(人、行為等)古怪的;古怪的;異乎尋常的
postcard,n.,明信片
offspring,n.,子女;子孫;後代
note,v.,注意;記下
stamp,v.,蓋印;頓足
revolt,v.,(使)厭惡;(使)反感;使反感;反叛;起義;造反
salty,adj.,有鹽分的;鹹味濃的
set,n.,套;組
competence,n.,勝任;稱職;能力
hatred,n.,"憎恨,增惡;敵意"
indignation,n.,憤怒;憤慨;義憤
rot,n.,"腐敗,墮落;腐爛,腐壞"
prompt,n.,催促;提醒
therapist,n.,治療技師或專家
freight,n.,(船運的)貨物;運費
counterclockwise,adj.,逆時針方向的;逆時鐘方向的
spacecraft,n.,"太空船,航天器"
interpret,v.,解釋
eight,n.,八
petal,n.,花瓣
latitude,n.,;緯度
miller,n.,碾磨工;磨坊主
separation,n.,分開;分離
world,n.,世界
stylish,adj.,時髦的;漂亮的
pension,v.,發給...退休金(或養老金等)
need,n.,貧窮;需求;需要
initiate,v.,(通過儀式)接納新成員;初學;創始;發起;開始
out,adj.,在外的
customs,n.,報關手續;海關出入境口;關稅
